,skill,count
0,Bus,257
1,Business Intelligence,43
2,Intel,63
3,Intelligence,53
4,D,4494
5,C,5435
6,Comp,947
7,Computer Science,664
8,Economics,131
9,Statistics,218
10,Excel,1197
11,Microsoft,194
12,Microsoft Excel,21
13,SQL,1137
14,Data,743
15,Data Studio,5
16,Studio,20
17,Tableau,412
18,F,1471
19,Facebook,6
20,Go,403
21,Google,175
22,Pro,2134
23,Calc,18
24,O,2787
25,R,3457
26,Big Data,46
27,Scientists,16
28,Adva,136
29,Advanced,128
30,Fraud,6
31,Fraud Detection,2
32,Health,156
33,Python,608
34,Java,192
35,Base,15
36,HBase,7
37,Hadoop,115
38,Hive,56
39,Kafka,38
40,Oozie,5
41,Spa,152
42,Spark,145
43,Financial Services,11
44,Insurance,23
45,nan,931
46,Trac,42
47,Agile,78
48,Contribute,66
49,GL,13
50,GLM,6
51,Mathematics,118
52,CAS,7
53,Microsoft Office,70
54,Office,195
55,SAS,226
56,Suite,139
57,Training,24
58,Flex,212
59,Flexi,210
60,Fit,6
61,Fitness,6
62,Disco,24
63,Discount,21
64,Offers,8
65,Tor,85
66,Family,5
67,Young People,2
68,LinkedIn,8
69,Data Science,63
70,Inform,152
71,Informatics,9
72,Minitab,1
73,SPSS,36
74,Customer,77
75,KPI,147
76,Res,446
77,Research,225
78,Analytics,109
79,Apache,26
80,Apache Spark,5
81,HTML,53
82,Javascript,19
83,ML,185
84,English,70
85,French,39
86,ETL,142
87,Panda,110
88,Pandas,110
89,Git,50
90,Audi,19
91,Teradata,10
92,App,208
93,Troubleshooting,9
94,Monit,188
95,IT,213
96,Retail,14
97,Database,52
98,Database Marketing,1
99,Direct Marketing,1
100,Loyalty Marketing,2
101,Tea,108
102,PowerPoint,146
103,Ownership,10
104,Sh,148
105,Pen,22
106,Pension,21
107,Scheduling,11
108,CP,193
109,Infectious Diseases,1
110,CRFs,6
111,CLI,2
112,CTM,1
113,LIN,2
114,N,822
115,ONE,2
116,PHO,1
117,Clinic,140
118,ACR,48
119,CC,28
120,CCRP,2
121,CRP,49
122,RP,86
123,ATA,10
124,IATA,4
125,Vi,233
126,Visio,74
127,Clinical Research,97
128,Phlebotomy,2
129,Balance,104
130,B2,121
131,HANA,123
132,OLA,108
133,OLAP,106
134,OLT,100
135,SAP,184
136,SAP HANA,105
137,SE,139
138,Applied Mathematics,7
139,Bios,6
140,Biostatistics,4
141,Linguistics,2
142,Natural Sciences,2
143,Ope,269
144,Opera,132
145,Operations,68
146,Algo,3
147,Algor,3
148,Computer Vision,10
149,Deep Learning,24
150,Foundation,15
151,Foundations,1
152,Learning,112
153,Mac,89
154,Machine Learning,64
155,Natural Language,15
156,Natural Language Understanding,1
157,Neural Networks,4
158,Optimization,11
159,Software,165
160,C++,87
161,Expos,34
162,STEM,15
163,TEM,15
164,JSON,15
165,X,135
166,XML,23
167,Cassandra,16
168,NoSQL,54
169,Sqoop,8
170,IX,12
171,MySQL,30
172,SQL Server,67
173,Preparation,15
174,FP,10
175,RFI,7
176,RFP,7
177,VM,24
178,Valuation,3
179,Business Analytics,4
180,Project,95
181,AML,12
182,Creativity,8
183,Credit,7
184,Qlik,11
185,Spotfire,4
186,Physics,37
187,Design,240
188,IO,15
189,Maintenance,11
190,GMP,132
191,Access,68
192,Word,170
193,Reporting,125
194,NetSuite,101
195,Salesforce,127
196,Structures,13
197,Drive,82
198,Dia,22
199,Diagnose,19
200,AWS,135
201,Azure,80
202,Sage,18
203,WS,145
204,Boost,19
205,H2,16
206,Perl,33
207,Interpret,19
208,Outlook,94
209,Leadership,29
210,Clear,24
211,Computing,13
212,Protocol,95
213,Case Report Forms,48
214,Form,65
215,Forms,51
216,Bioequivalence,44
217,Directives,44
218,Phase I,45
219,TPD,45
220,Addition,54
221,Pharmaceutical Industry,45
222,Running,108
223,Other,149
224,Persistence,99
225,Automotive,104
226,Gx,103
227,GxP,103
228,Contract Manufacturing,100
229,Manufacturing,118
230,Organ,141
231,Organization,112
232,Investigation,101
233,Chemistry,113
234,Chrome,102
235,HP,137
236,OE,110
237,UV,105
238,Change Control,11
239,Deviations,8
240,Conductivity,6
241,Osmo,6
242,Osmolality,6
243,Recon,7
244,Record,23
245,Micropipette,3
246,Spectrophotometry,3
247,Looker,12
248,LP,43
249,Penta,1
250,Pentaho,1
251,Talend,7
252,Workbench,1
253,Modeling,111
254,Data Visualization,6
255,Visualization,8
256,Documentation,8
257,Window,52
258,Snow,10
259,Snowflake,4
260,Comm,201
261,Command,2
262,Cubes,2
263,Frame,18
264,Google Analytics,21
265,Omniture,5
266,CS,99
267,CSS,44
268,DevOps,35
269,Ops,45
270,Interpreting,1
271,Bayesian,5
272,Bayesian methods,3
273,Fuel,4
274,Pay,20
275,Ping,11
276,Table Tennis,5
277,Tennis,5
278,Operational Risk,6
279,Risk,33
280,Prototype,4
281,Management,220
282,Operational Risk Management,5
283,Proof,3
284,Proof of Concept,1
285,Techno,97
286,Technology,90
287,Graphical Models,1
288,Models,13
289,Anomaly Detection,1
290,Communication,29
291,Teamwork,3
292,Parallel Programming,1
293,Building,28
294,Data Engineering,8
295,Engage,46
296,NLP,37
297,Salary,11
298,AOD,5
299,AODA,5
300,Accessibility,4
301,Code,31
302,Disabilities,3
303,Human Rights,4
304,RC,13
305,Rig,5
306,Rights,4
307,Macro,5
308,Pivot Tables,2
309,Power BI,52
310,STS,1
311,Strat,38
312,Strategy,22
313,TS,30
314,Microsoft PowerPoint,4
