Title,Company,Level,Responsibility,Link
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Communicate, through reports and presentations, data analytics results to VIA Rail’s business units;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Provide analysis and insight into the created analytics with recommendation for business opportunities for VIA Rail;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Support the Campaign Management team in building campaign ROI reports and deep dive post-campaign analysis;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Provide ad-hoc on-going analytics support required by the business units;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Develop and maintain strong working relationships with key internal clients;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Participate in the design, development and monitoring of analytics application, such as segmentation and predictive models using CRM Analytics suite including validation, deployment and business applications of these models;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Participate in the design and development of reports using VIA Rail’s reporting software, including testing, validation, deployment and scheduling of these reports;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Increase the level of trust in, and reliance on, VIA Rail’s data insights;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Demonstrate a thorough understanding of VIA Rail’s data and data architecture analytical capabilities and knowledge of VIA Rail’s business processes;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Initiate data enhancements to the CRM databases to improve efficiency and flexibility, and work with IT to ensure implementation;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Drive changes and collaborate with VIA Rail IT team to enhance the data architecture required to improve efficiencies and effectiveness of analytics and reporting.,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Bachelor’s degree in a quantitatively related field (Computer Science, Business Intelligence, Statistics, Economics); Master’s in business intelligence, statistics or the equivalent is an asset;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Minimum of three (3) years as a Business Intelligence or advanced analytical function utilizing statistics and data mining to solve business problems;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Experience in Customer Lifecycle management activities is an asset;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Strong experiences in data modeling techniques: Entity-Relationship, Star-schema. Knowledge of Data Vault modeling is definite asset;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Advanced Microsoft Excel skills and excellent knowledge of analytical tools and/or software is a must;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Excellent knowledge of Microsoft Power BI is a strong asset;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Hands-on experiences with the Microsoft BI suite (SQLServer, SQLServer Analytic Services, SQLServer Reporting Services) is an asset;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Knowledge of systems and database infrastructure;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Experience in loyalty, transportation industries an asset;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Bilingual - French and English.,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Strong ability to analyze data, translate results into strategies and revenue generating opportunities and communicate to internal clients;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Highly analytical and logical approach;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Creative approach to idea generation and problem solving; resourcefulness; easily makes connections among previously unrelated notions;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Able to establish and maintain effective relationships throughout the organization;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Ability to work efficiently both independently and within a team environment;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Able to meet expectations and requirements of internal customers;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Strong presentation, interpersonal, organizational and oral/written communication skills;",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Able to work under pressure on multiple projects with tight deadlines;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level," Thrive in a fast-moving environment, with high tolerance for change.",https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Increased campaigns ROI for VIA Rail;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Ability to develop on-going analysis in a timely manner meeting the needs of the VIA Rail business units;,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Analyst, Data Analytics ",VIA Rail Canada,Entry level, Ability to identify opportunities to improve the quality of the information provided to VIA Rail business units.,https://ca.linkedin.com/jobs/view/analyst-data-analytics-at-via-rail-canada-1737012374?refId=9c659e71-cc4d-4c3b-9b75-7e8869aeadbd&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
