Title,Company,Level,Responsibility,Link
"Consultant, Data Analyst",Farber,Entry level, Meet with clients to understand business and data requirements ,https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Consultant, Data Analyst",Farber,Entry level, Analyze complex data sets and use statistical tools to determine trends or patterns ,https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Consultant, Data Analyst",Farber,Entry level," Develop and implement automated dashboards and analytic tools (Excel, Power BI)",https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Consultant, Data Analyst",Farber,Entry level, Build presentations and reports to provide insights for business performance and strategic planning ,https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Consultant, Data Analyst",Farber,Entry level, Present recommendations and support clients through implementation ,https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Consultant, Data Analyst",Farber,Entry level, Lead business development efforts including preparing proposals and conducting client spotlights ,https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Consultant, Data Analyst",Farber,Entry level, Support projects across a variety of industries and functions ,https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Consultant, Data Analyst",Farber,Entry level, Manage stakeholders across clients and within other business units at Farber Group ,https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Consultant, Data Analyst",Farber,Entry level," Bachelor of Science in mathematics, economics, computer science, information management or statistics ",https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
"Consultant, Data Analyst",Farber,Entry level,2-4 years proven working experience as a data analyst or business data analyst ,https://ca.linkedin.com/jobs/view/consultant-data-analyst-at-farber-1766468985?refId=45a3a062-bc14-4d02-84eb-5e1dd38f819f&position=2&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
