Title,Company,Level,Responsibility,Link
Data Analyst (Contract),Tundra Technical Solutions,Associate," Validate sales order data, confirming product and site eligibility for services",https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Data Analyst (Contract),Tundra Technical Solutions,Associate, Communicate with customers directly for order details and agreements,https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Data Analyst (Contract),Tundra Technical Solutions,Associate," Identify systems and process opportunities to create efficiency, reduce customer effort and reduce Sales effort",https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Data Analyst (Contract),Tundra Technical Solutions,Associate, Build relationships with downstream support teams,https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Data Analyst (Contract),Tundra Technical Solutions,Associate, Develop a relationship with sales and sales leaders to foster strong communication on order and service flows,https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Data Analyst (Contract),Tundra Technical Solutions,Associate," French speaking, reading and writing is an asset",https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Data Analyst (Contract),Tundra Technical Solutions,Associate, Customer Service,https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Data Analyst (Contract),Tundra Technical Solutions,Associate, Strong knowledge of Business 2 Business sales environment,https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Data Analyst (Contract),Tundra Technical Solutions,Associate, Excellent organizational skills and ability to multi-task and prioritize effectively,https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
Data Analyst (Contract),Tundra Technical Solutions,Associate," Ability to work and thrive in a high energy, fast paced, action-oriented environment",https://ca.linkedin.com/jobs/view/data-analyst-contract-at-tundra-technical-solutions-1739854568?refId=09c662fc-764f-4340-8486-7f1bf6ebaee6&position=1&pageNum=0&trk=public_jobs_job-result-card_result-card_full-click
